sequence_length,gc_content_pct,at_content_pct,a_count,t_count,g_count,c_count,gc_at_ratio,top_kmer_freq,unique_kmers_count,is_anomaly,risk_level,mutation_type
1050,51.08,48.92,256,258,268,268,1.0428,21,59,0,Low,Wildtype
994,58.65,41.35,205,200,305,284,1.4543,31,58,1,Medium,Single Nucleotide Polymorphism
1015,52.24,47.76,242,240,277,256,1.1058,25,59,1,Medium,Single Nucleotide Polymorphism
1014,52.52,47.48,240,242,266,266,1.1037,16,58,0,Low,Wildtype
1110,52.69,47.31,276,250,292,292,1.1103,34,61,1,Medium,Insertion
1046,55.61,44.39,232,234,290,290,1.2446,15,60,0,Low,Wildtype
960,54.15,45.85,220,222,259,259,1.1719,21,59,0,Low,Wildtype
1002,59.53,40.47,202,198,331,271,1.505,35,43,1,Critical,Frameshift Mutation
936,61.27,38.73,181,177,318,260,1.6145,44,39,1,Critical,Frameshift Mutation
911,45.46,54.54,248,249,207,207,0.833,22,48,1,High,Deletion
990,56.15,43.85,217,219,277,277,1.2706,19,60,0,Low,Wildtype
1030,52.48,47.52,244,246,270,270,1.102,17,59,0,Low,Wildtype
1083,47.85,52.15,297,268,259,259,0.9168,34,60,1,Medium,Insertion
994,57.35,42.65,211,215,290,278,1.3333,31,59,1,Medium,Single Nucleotide Polymorphism
1029,46.21,53.79,276,279,237,237,0.8541,24,59,0,Low,Wildtype
1033,52.88,47.12,243,241,287,262,1.1343,26,56,1,Medium,Single Nucleotide Polymorphism
978,52.97,47.03,229,231,259,259,1.1261,20,57,0,Low,Wildtype
997,60.98,39.02,194,190,337,276,1.5964,59,44,1,Critical,Frameshift Mutation
1006,54.1,45.9,230,232,272,272,1.1775,21,62,0,Low,Wildtype
1121,43.43,56.57,333,301,243,244,0.7681,39,66,1,Medium,Insertion
970,51.12,48.88,237,239,247,247,1.0378,13,61,0,Low,Wildtype
989,56.62,43.38,214,212,292,271,1.3216,32,60,1,Medium,Single Nucleotide Polymorphism
996,58.3,41.7,207,209,296,284,1.3942,26,60,1,Medium,Single Nucleotide Polymorphism
990,53.9,46.1,228,230,266,266,1.1616,20,57,0,Low,Wildtype
1032,52.69,47.31,244,239,302,247,1.1366,54,40,1,Critical,Frameshift Mutation
872,36.39,63.61,277,279,158,158,0.5683,15,57,1,High,Deletion
1003,58.84,41.16,206,202,327,268,1.4583,51,52,1,Critical,Frameshift Mutation
857,42.27,57.73,247,248,181,181,0.7313,17,50,1,High,Deletion
927,54.4,45.6,211,211,263,242,1.1967,31,60,1,Medium,Single Nucleotide Polymorphism
1040,60.43,39.57,205,201,349,285,1.5616,43,46,1,Critical,Frameshift Mutation
994,53.11,46.89,233,235,263,263,1.1239,17,58,0,Low,Wildtype
973,50.03,49.97,243,244,243,243,0.9979,20,58,0,Low,Wildtype
942,52.79,47.21,222,224,248,248,1.1121,22,61,0,Low,Wildtype
981,48.83,51.17,251,252,239,239,0.9503,17,59,0,Low,Wildtype
970,57.65,42.35,205,208,290,267,1.3487,25,59,1,Medium,Single Nucleotide Polymorphism
995,53.59,46.41,230,233,266,266,1.149,19,55,0,Low,Wildtype
866,54.0,46.0,199,201,233,233,1.165,21,47,1,High,Deletion
957,61.25,38.75,185,184,307,281,1.5935,29,62,1,Medium,Single Nucleotide Polymorphism
974,49.88,50.12,244,246,242,242,0.9878,20,60,0,Low,Wildtype
1030,57.71,42.29,217,220,304,289,1.357,27,54,1,Medium,Single Nucleotide Polymorphism
986,50.83,49.17,242,244,250,250,1.0288,17,62,0,Low,Wildtype
874,45.58,54.42,237,239,199,199,0.8361,28,56,1,High,Deletion
953,52.54,47.46,226,227,250,250,1.1038,22,56,0,Low,Wildtype
1010,59.99,40.01,202,197,336,275,1.5313,55,49,1,Critical,Frameshift Mutation
853,37.1,62.9,268,269,158,158,0.5885,26,56,1,High,Deletion
988,51.59,48.41,239,241,254,254,1.0583,16,57,0,Low,Wildtype
980,49.55,50.45,247,249,242,242,0.9758,18,58,0,Low,Wildtype
886,38.78,61.22,271,273,171,171,0.6287,25,58,1,High,Deletion
1083,43.07,56.93,324,293,233,233,0.7553,34,61,1,Medium,Insertion
1012,45.48,54.52,290,262,230,230,0.8333,37,63,1,Medium,Insertion
912,41.32,58.68,267,269,188,188,0.7015,20,50,1,High,Deletion
1047,51.39,48.61,254,255,269,269,1.057,21,57,0,Low,Wildtype
983,51.78,48.22,237,236,266,244,1.0782,32,58,1,Medium,Single Nucleotide Polymorphism
1069,52.79,47.21,252,253,282,282,1.1168,18,59,0,Low,Wildtype
917,44.39,55.61,254,257,203,203,0.7945,22,48,1,High,Deletion
1016,41.85,58.15,310,281,212,213,0.7191,35,64,1,Medium,Insertion
974,48.8,51.2,249,251,237,237,0.948,24,57,0,Low,Wildtype
1025,52.06,47.94,245,248,266,266,1.0791,18,59,0,Low,Wildtype
988,52.93,47.07,232,234,261,261,1.1202,16,62,0,Low,Wildtype
1017,53.2,46.8,237,240,270,270,1.1321,16,59,0,Low,Wildtype
1015,46.59,53.41,285,258,236,236,0.8692,38,63,1,Medium,Insertion
1060,58.52,41.48,231,209,310,310,1.4091,34,64,1,Medium,Insertion
940,47.23,52.77,248,250,221,221,0.8876,13,50,1,High,Deletion
988,53.02,46.98,232,231,273,252,1.1339,28,59,1,Medium,Single Nucleotide Polymorphism
997,52.97,47.03,234,235,264,264,1.1258,18,56,0,Low,Wildtype
1026,47.42,52.58,283,256,243,244,0.9035,26,65,1,Medium,Insertion
951,36.94,63.06,299,302,175,175,0.5824,21,49,1,High,Deletion
983,54.77,45.23,222,217,282,262,1.2392,30,55,1,Medium,Single Nucleotide Polymorphism
956,50.39,49.61,237,239,240,240,1.0084,25,54,1,High,Deletion
1028,51.55,48.45,249,252,274,253,1.0519,31,60,1,Medium,Single Nucleotide Polymorphism
1051,52.82,47.18,247,254,284,266,1.0978,20,66,1,Medium,Single Nucleotide Polymorphism
987,52.51,47.49,234,237,268,248,1.0955,25,50,1,Medium,Single Nucleotide Polymorphism
983,52.78,47.22,232,233,259,259,1.114,13,60,0,Low,Wildtype
999,53.16,46.84,233,236,265,265,1.1301,18,58,0,Low,Wildtype
1035,51.68,48.32,250,251,267,267,1.0659,17,58,0,Low,Wildtype
1117,44.46,55.54,326,295,248,248,0.7987,23,62,1,Medium,Insertion
973,47.45,52.55,255,258,230,230,0.8967,18,60,0,Low,Wildtype
1034,52.64,47.36,244,255,277,258,1.0721,27,58,1,Medium,Single Nucleotide Polymorphism
1018,62.54,37.46,190,186,353,289,1.7074,49,46,1,Critical,Frameshift Mutation
1039,55.12,44.88,233,234,286,286,1.2248,18,58,0,Low,Wildtype
1013,53.97,46.03,233,240,278,262,1.1416,27,58,1,Medium,Single Nucleotide Polymorphism
907,43.18,56.82,257,260,195,195,0.7544,18,46,1,High,Deletion
1036,50.69,49.31,255,257,262,262,1.0234,14,61,0,Low,Wildtype
1035,53.44,46.56,240,243,276,276,1.1429,20,58,0,Low,Wildtype
957,55.0,45.0,215,216,263,263,1.2204,17,59,0,Low,Wildtype
1039,53.11,46.89,243,246,275,275,1.1247,19,64,0,Low,Wildtype
982,64.64,35.36,173,169,352,288,1.8713,44,39,1,Critical,Frameshift Mutation
920,48.32,51.68,237,239,222,222,0.9328,20,51,1,High,Deletion
1120,47.16,52.84,311,281,264,264,0.8919,33,61,1,Medium,Insertion
864,48.9,51.1,220,222,211,211,0.9548,25,49,1,High,Deletion
928,53.17,46.83,217,219,246,246,1.1284,27,47,1,High,Deletion
994,52.57,47.43,235,237,261,261,1.1059,17,63,0,Low,Wildtype
958,47.94,52.06,249,251,229,229,0.916,28,46,1,High,Deletion
1008,50.85,49.15,247,249,262,250,1.0323,29,56,1,Medium,Single Nucleotide Polymorphism
912,47.35,52.65,240,242,215,215,0.8921,25,52,1,High,Deletion
964,49.3,50.7,244,246,237,237,0.9673,20,50,1,High,Deletion
1030,52.41,47.59,245,247,269,269,1.0935,14,59,0,Low,Wildtype
1039,52.49,47.51,246,249,272,272,1.099,19,60,0,Low,Wildtype
974,50.76,49.24,239,241,247,247,1.0292,19,61,0,Low,Wildtype
1032,53.43,46.57,240,237,286,269,1.1635,32,56,1,Medium,Single Nucleotide Polymorphism
856,45.06,54.94,235,237,192,192,0.8136,25,51,1,High,Deletion
958,49.49,50.51,241,243,237,237,0.9793,22,46,1,High,Deletion
975,47.81,52.19,254,255,233,233,0.9155,19,60,0,Low,Wildtype
949,60.37,39.63,188,190,295,276,1.5106,21,61,1,Medium,Single Nucleotide Polymorphism
983,63.67,36.33,178,186,319,300,1.7005,27,57,1,Medium,Single Nucleotide Polymorphism
992,52.22,47.78,236,238,259,259,1.0928,25,59,0,Low,Wildtype
990,52.13,47.87,236,238,258,258,1.0886,21,57,0,Low,Wildtype
1013,50.37,49.63,251,252,255,255,1.0139,19,59,0,Low,Wildtype
929,61.85,38.15,177,172,319,261,1.6619,40,35,1,Critical,Frameshift Mutation
997,51.76,48.24,240,241,258,258,1.0728,22,61,0,Low,Wildtype
969,61.56,38.44,186,187,306,290,1.5979,26,58,1,Medium,Single Nucleotide Polymorphism
1158,46.78,53.22,324,293,270,271,0.8768,36,60,1,Medium,Insertion
1021,61.03,38.97,198,201,321,301,1.5589,20,58,1,Medium,Single Nucleotide Polymorphism
1028,59.03,40.97,210,206,337,275,1.4712,36,30,1,Critical,Frameshift Mutation
1022,59.49,40.51,207,202,337,276,1.4988,44,53,1,Critical,Frameshift Mutation
1049,51.09,48.91,256,259,267,267,1.0369,16,60,0,Low,Wildtype
970,56.91,43.09,209,215,283,263,1.2877,26,57,1,Medium,Single Nucleotide Polymorphism
1026,50.61,49.39,253,255,259,259,1.0197,17,60,0,Low,Wildtype
1034,51.52,48.48,250,252,266,266,1.0598,15,59,0,Low,Wildtype
1031,56.07,43.93,226,227,289,289,1.2759,14,57,0,Low,Wildtype
1058,48.44,51.56,287,259,256,256,0.9377,35,64,1,Medium,Insertion
953,54.41,45.59,217,214,272,250,1.2111,23,59,1,Medium,Single Nucleotide Polymorphism
960,56.83,43.17,207,209,272,272,1.3077,18,60,0,Low,Wildtype
975,51.37,48.63,237,238,250,250,1.0526,16,58,0,Low,Wildtype
1019,57.75,42.25,215,211,326,267,1.392,47,45,1,Critical,Frameshift Mutation
985,49.21,50.79,250,251,242,242,0.9661,22,60,0,Low,Wildtype
1065,53.88,46.12,245,248,286,286,1.1602,19,59,0,Low,Wildtype
967,55.35,44.65,215,221,277,254,1.2179,26,64,1,Medium,Single Nucleotide Polymorphism
1052,54.83,45.17,237,233,320,262,1.2383,50,41,1,Critical,Frameshift Mutation
990,50.37,49.63,245,247,249,249,1.0122,11,59,0,Low,Wildtype
1120,52.26,47.74,281,254,292,293,1.0935,35,66,1,Medium,Insertion
874,43.99,56.01,244,246,192,192,0.7837,22,47,1,High,Deletion
1002,53.28,46.72,234,236,266,266,1.1319,19,63,0,Low,Wildtype
1025,48.46,51.54,278,251,248,248,0.9376,35,64,1,Medium,Insertion
970,55.98,44.02,213,218,279,260,1.2506,26,61,1,Medium,Single Nucleotide Polymorphism
1076,42.25,57.75,327,295,227,227,0.7299,41,61,1,Medium,Insertion
1029,43.5,56.5,305,276,223,225,0.7711,38,62,1,Medium,Insertion
963,56.35,43.65,210,213,279,261,1.2766,25,61,1,Medium,Single Nucleotide Polymorphism
989,51.19,48.81,241,242,253,253,1.0476,15,60,0,Low,Wildtype
993,40.73,59.27,294,295,202,202,0.6859,24,50,1,High,Deletion
1015,52.01,47.99,243,246,263,263,1.0757,18,59,0,Low,Wildtype
1034,54.86,45.14,233,235,283,283,1.2094,14,59,0,Low,Wildtype
1000,51.47,48.53,242,244,257,257,1.0576,23,60,0,Low,Wildtype
975,57.79,42.21,205,203,294,273,1.3897,29,60,1,Medium,Single Nucleotide Polymorphism
1101,44.64,55.36,320,290,245,246,0.8049,32,64,1,Medium,Insertion
1016,50.32,49.68,252,254,255,255,1.0079,16,59,0,Low,Wildtype
980,49.91,50.09,245,246,258,231,0.9959,35,53,1,Medium,Single Nucleotide Polymorphism
1023,53.24,46.76,239,240,272,272,1.1357,16,61,0,Low,Wildtype
1067,45.3,54.7,307,277,241,242,0.8271,30,64,1,Medium,Insertion
1026,51.24,48.76,250,252,262,262,1.0438,16,57,0,Low,Wildtype
1192,45.94,54.06,339,306,273,274,0.8481,36,63,1,Medium,Insertion
1019,59.33,40.67,207,209,308,295,1.4495,29,59,1,Medium,Single Nucleotide Polymorphism
973,60.75,39.25,190,187,328,268,1.5809,37,42,1,Critical,Frameshift Mutation
971,51.39,48.61,235,238,249,249,1.0529,21,59,0,Low,Wildtype
988,51.97,48.03,237,239,256,256,1.0756,16,59,0,Low,Wildtype
1016,53.77,46.23,234,236,273,273,1.1617,21,64,0,Low,Wildtype
1018,71.17,28.83,146,141,402,329,2.547,47,54,1,Critical,Frameshift Mutation
880,43.6,56.4,248,250,191,191,0.7671,17,52,1,High,Deletion
1022,50.23,49.77,254,256,256,256,1.0039,16,60,0,Low,Wildtype
1068,42.91,57.09,320,290,229,229,0.7508,41,63,1,Medium,Insertion
923,38.23,61.77,285,286,176,176,0.6165,21,50,1,High,Deletion
1010,59.49,40.51,204,210,305,291,1.4396,31,59,1,Medium,Single Nucleotide Polymorphism
1005,59.0,41.0,206,208,307,284,1.4275,25,52,1,Medium,Single Nucleotide Polymorphism
1015,54.75,45.25,229,232,277,277,1.2017,17,61,0,Low,Wildtype
1048,54.63,45.37,237,239,286,286,1.2017,22,61,0,Low,Wildtype
925,38.59,61.41,284,285,178,178,0.6257,26,47,1,High,Deletion
991,51.25,48.75,241,238,282,230,1.0689,58,45,1,Critical,Frameshift Mutation
1062,47.26,52.74,294,266,250,252,0.8964,35,62,1,Medium,Insertion
994,52.61,47.39,235,237,261,261,1.1059,10,56,0,Low,Wildtype
1068,50.99,49.01,261,263,272,272,1.0382,10,57,0,Low,Wildtype
1184,45.19,54.81,341,309,267,267,0.8215,33,61,1,Medium,Insertion
898,50.36,49.64,222,224,226,226,1.0135,21,49,1,High,Deletion
926,42.67,57.33,265,267,197,197,0.7406,20,51,1,High,Deletion
913,36.35,63.65,290,293,165,165,0.566,23,47,1,High,Deletion
1165,45.16,54.84,336,304,263,262,0.8203,36,64,1,Medium,Insertion
952,53.79,46.21,219,221,256,256,1.1636,16,60,0,Low,Wildtype
1048,53.79,46.21,242,244,281,281,1.1564,17,58,0,Low,Wildtype
867,42.12,57.88,250,253,182,182,0.7237,28,58,1,High,Deletion
1057,51.43,48.57,270,244,271,272,1.0564,32,66,1,Medium,Insertion
1039,54.65,45.35,235,238,283,283,1.1966,18,61,0,Low,Wildtype
965,52.01,47.99,231,234,250,250,1.0753,19,57,0,Low,Wildtype
1058,54.75,45.25,251,227,289,291,1.2134,29,63,1,Medium,Insertion
999,51.58,48.42,241,244,257,257,1.0598,17,56,0,Low,Wildtype
983,52.19,47.81,235,236,256,256,1.087,18,57,0,Low,Wildtype
1037,53.4,46.6,241,241,289,266,1.1515,29,60,1,Medium,Single Nucleotide Polymorphism
1177,45.02,54.98,340,308,264,265,0.8164,40,61,1,Medium,Insertion
1157,47.0,53.0,322,292,271,272,0.8844,45,60,1,Medium,Insertion
989,52.46,47.54,235,236,259,259,1.0998,17,59,0,Low,Wildtype
1100,38.43,61.57,356,322,211,211,0.6224,33,60,1,Medium,Insertion
971,51.14,48.86,237,238,248,248,1.0442,18,59,0,Low,Wildtype
957,54.43,45.57,218,219,260,260,1.1899,17,58,0,Low,Wildtype
1151,43.27,56.73,343,310,248,250,0.7626,41,63,1,Medium,Insertion
1125,56.14,43.86,259,234,315,317,1.2819,30,63,1,Medium,Insertion
877,44.94,55.06,241,242,197,197,0.8157,19,50,1,High,Deletion
1109,47.37,52.63,307,277,262,263,0.899,26,60,1,Medium,Insertion
974,54.67,45.33,220,227,275,252,1.179,27,58,1,Medium,Single Nucleotide Polymorphism
1007,53.81,46.19,232,235,270,270,1.1563,13,57,0,Low,Wildtype
1015,49.88,50.12,254,259,262,240,0.9786,34,64,1,Medium,Single Nucleotide Polymorphism
1019,53.0,47.0,239,240,270,270,1.1273,12,58,0,Low,Wildtype
976,50.76,49.24,240,242,247,247,1.0249,17,59,0,Low,Wildtype
942,63.74,36.26,170,167,333,272,1.7953,46,43,1,Critical,Frameshift Mutation
1018,54.04,45.96,233,234,282,269,1.1799,32,63,1,Medium,Single Nucleotide Polymorphism
829,46.99,53.01,219,222,194,194,0.8798,24,49,1,High,Deletion
1128,49.09,50.91,302,273,276,277,0.9617,43,66,1,Medium,Insertion
912,36.61,63.39,289,291,166,166,0.5724,25,56,1,High,Deletion
1004,54.82,45.18,226,229,288,261,1.2066,29,57,1,Medium,Single Nucleotide Polymorphism
1033,55.85,44.15,228,232,299,274,1.2457,41,54,1,Medium,Single Nucleotide Polymorphism
945,61.81,38.19,180,175,305,285,1.662,32,58,1,Medium,Single Nucleotide Polymorphism
998,52.57,47.43,236,238,262,262,1.1055,19,61,0,Low,Wildtype
1113,48.36,51.64,302,273,269,269,0.9357,29,61,1,Medium,Insertion
966,50.3,49.7,240,242,242,242,1.0041,20,58,0,Low,Wildtype
1067,52.92,47.08,251,252,282,282,1.1213,21,60,0,Low,Wildtype
1115,44.53,55.47,325,294,248,248,0.8013,32,64,1,Medium,Insertion
1015,53.43,46.57,236,237,271,271,1.1459,19,58,0,Low,Wildtype
1021,65.91,34.09,174,169,373,305,1.9767,47,48,1,Critical,Frameshift Mutation
992,55.64,44.36,220,216,306,250,1.2752,44,41,1,Critical,Frameshift Mutation
980,59.28,40.72,199,195,322,264,1.4873,57,48,1,Critical,Frameshift Mutation
1051,58.02,41.98,220,226,311,294,1.3565,26,57,1,Medium,Single Nucleotide Polymorphism
1043,52.01,47.99,250,251,271,271,1.0818,17,60,0,Low,Wildtype
996,56.45,43.55,216,213,312,255,1.3217,47,43,1,Critical,Frameshift Mutation
952,53.73,46.27,220,221,267,244,1.1587,26,59,1,Medium,Single Nucleotide Polymorphism
951,59.34,40.66,193,189,313,256,1.4895,42,38,1,Critical,Frameshift Mutation
979,62.92,37.08,181,177,342,279,1.7346,26,45,1,Critical,Frameshift Mutation
953,49.96,50.04,238,239,238,238,0.9979,25,58,1,High,Deletion
953,51.57,48.43,230,233,245,245,1.0583,14,57,0,Low,Wildtype
969,56.5,43.5,210,214,284,261,1.2854,27,52,1,Medium,Single Nucleotide Polymorphism
832,43.36,56.64,235,237,180,180,0.7627,20,53,1,High,Deletion
973,51.57,48.43,235,238,250,250,1.0571,19,58,0,Low,Wildtype
1020,55.19,44.81,228,230,281,281,1.2271,18,61,0,Low,Wildtype
937,54.71,45.29,212,213,269,243,1.2047,22,55,1,Medium,Single Nucleotide Polymorphism
987,64.37,35.63,175,172,352,288,1.8444,33,39,1,Critical,Frameshift Mutation
1071,49.84,50.16,282,255,266,268,0.9944,34,66,1,Medium,Insertion
1047,52.02,47.98,251,251,284,261,1.0857,31,61,1,Medium,Single Nucleotide Polymorphism
1002,52.39,47.61,238,240,262,262,1.0962,16,59,0,Low,Wildtype
1109,52.82,47.18,275,249,292,293,1.1164,34,61,1,Medium,Insertion
1030,58.46,41.54,213,210,334,273,1.435,36,43,1,Critical,Frameshift Mutation
957,49.17,50.83,243,244,235,235,0.9651,21,59,0,Low,Wildtype
988,57.45,42.55,210,209,296,273,1.358,32,57,1,Medium,Single Nucleotide Polymorphism
926,40.71,59.29,274,276,188,188,0.6836,23,48,1,High,Deletion
1107,46.64,53.36,310,281,258,258,0.8731,35,62,1,Medium,Insertion
1079,42.35,57.65,327,296,228,228,0.7319,37,64,1,Medium,Insertion
1095,48.41,51.59,297,269,265,264,0.9346,33,61,1,Medium,Insertion
923,55.43,44.57,205,213,260,245,1.2081,31,55,1,Medium,Single Nucleotide Polymorphism
1042,50.9,49.1,255,257,265,265,1.0352,12,59,0,Low,Wildtype
861,43.66,56.34,242,245,187,187,0.768,26,52,1,High,Deletion
844,42.71,57.29,241,243,180,180,0.7438,19,44,1,High,Deletion
868,47.92,52.08,226,228,207,207,0.9119,27,44,1,High,Deletion
1022,63.38,36.62,187,182,359,294,1.7696,42,43,1,Critical,Frameshift Mutation
1008,57.7,42.3,213,215,296,284,1.3551,34,57,1,Medium,Single Nucleotide Polymorphism
979,55.88,44.12,215,216,287,261,1.2715,28,58,1,Medium,Single Nucleotide Polymorphism
842,42.53,57.47,241,243,179,179,0.7397,25,46,1,High,Deletion
1071,53.65,46.35,261,236,287,287,1.1549,35,63,1,Medium,Insertion
1129,50.07,49.93,296,268,282,283,1.0018,33,63,1,Medium,Insertion
934,44.7,55.3,258,260,208,208,0.8031,19,49,1,High,Deletion
937,47.34,52.66,246,249,221,221,0.8929,25,49,1,High,Deletion
1003,52.82,47.18,236,239,264,264,1.1116,14,60,0,Low,Wildtype
1068,51.33,48.67,259,263,284,262,1.046,29,59,1,Medium,Single Nucleotide Polymorphism
1001,52.66,47.34,236,239,263,263,1.1074,16,56,0,Low,Wildtype
978,56.47,43.53,212,210,286,270,1.3175,29,58,1,Medium,Single Nucleotide Polymorphism
980,52.98,47.02,230,232,259,259,1.1212,23,59,0,Low,Wildtype
1021,52.12,47.88,244,239,277,261,1.1139,28,54,1,Medium,Single Nucleotide Polymorphism
999,60.69,39.31,196,193,316,294,1.5681,22,59,1,Medium,Single Nucleotide Polymorphism
1026,51.1,48.9,250,252,262,262,1.0438,16,60,0,Low,Wildtype
986,55.8,44.2,217,226,282,261,1.2257,41,53,1,Medium,Single Nucleotide Polymorphism
1067,51.39,48.61,259,260,274,274,1.0559,17,58,0,Low,Wildtype
1023,49.12,50.88,260,261,251,251,0.9635,12,63,0,Low,Wildtype
861,47.98,52.02,223,226,206,206,0.9176,24,49,1,High,Deletion
953,61.95,38.05,181,184,302,286,1.611,34,58,1,Medium,Single Nucleotide Polymorphism
973,49.34,50.66,246,247,240,240,0.9736,17,61,0,Low,Wildtype
996,60.53,39.47,196,200,307,293,1.5152,25,55,1,Medium,Single Nucleotide Polymorphism
927,38.5,61.5,285,286,178,178,0.6235,13,50,1,High,Deletion
1013,52.81,47.19,239,240,267,267,1.1148,21,57,0,Low,Wildtype
1136,52.77,47.23,282,255,299,300,1.1155,20,65,1,Medium,Insertion
994,53.33,46.67,231,233,265,265,1.1422,23,64,0,Low,Wildtype
980,52.27,47.73,233,235,256,256,1.094,22,58,0,Low,Wildtype
982,54.24,45.76,224,225,275,258,1.1871,30,54,1,Medium,Single Nucleotide Polymorphism
1019,57.39,42.61,217,221,303,278,1.3265,23,54,1,Medium,Single Nucleotide Polymorphism
1152,50.32,49.68,301,272,289,290,1.0105,33,61,1,Medium,Insertion
1124,45.0,55.0,325,294,252,253,0.8158,43,64,1,Medium,Insertion
1001,55.96,44.04,220,216,311,254,1.2959,34,45,1,Critical,Frameshift Mutation
990,62.9,37.1,183,188,316,303,1.6685,28,59,1,Medium,Single Nucleotide Polymorphism
1005,49.88,50.12,251,254,250,250,0.9901,20,61,0,Low,Wildtype
899,44.28,55.72,250,251,199,199,0.7944,22,57,1,High,Deletion
1006,53.0,47.0,236,238,266,266,1.1224,19,60,0,Low,Wildtype
1025,54.15,45.85,234,234,290,267,1.1902,29,60,1,Medium,Single Nucleotide Polymorphism
1013,55.35,44.65,226,227,280,280,1.2362,17,61,0,Low,Wildtype
967,51.23,48.77,235,238,247,247,1.0444,20,61,0,Low,Wildtype
993,59.64,40.36,200,195,329,269,1.5139,46,43,1,Critical,Frameshift Mutation
979,46.45,53.55,262,263,227,227,0.8648,24,61,1,High,Deletion
1098,55.37,44.63,257,233,303,305,1.2408,35,61,1,Medium,Insertion
1020,57.26,42.74,217,219,299,285,1.3394,24,57,1,Medium,Single Nucleotide Polymorphism
966,49.98,50.02,241,243,241,241,0.9959,19,61,0,Low,Wildtype
980,53.54,46.46,227,229,262,262,1.1491,21,63,0,Low,Wildtype
1002,50.72,49.28,246,248,254,254,1.0283,14,57,0,Low,Wildtype
1037,51.45,48.55,251,258,271,257,1.0373,25,62,1,Medium,Single Nucleotide Polymorphism
1051,41.17,58.83,325,294,216,216,0.6979,32,63,1,Medium,Insertion
1066,43.0,57.0,319,289,229,229,0.7533,41,65,1,Medium,Insertion
964,53.04,46.96,226,228,255,255,1.1233,22,59,0,Low,Wildtype
990,57.36,42.64,211,206,315,258,1.3741,44,43,1,Critical,Frameshift Mutation
1101,48.15,51.85,300,271,265,265,0.9282,39,65,1,Medium,Insertion
944,53.21,46.79,220,218,262,244,1.1553,27,53,1,Medium,Single Nucleotide Polymorphism
1095,43.98,56.02,322,292,240,241,0.7834,30,63,1,Medium,Insertion
964,57.03,42.97,207,207,284,266,1.3285,25,57,1,Medium,Single Nucleotide Polymorphism
1050,54.68,45.32,237,239,287,287,1.2059,14,61,0,Low,Wildtype
1024,52.56,47.44,242,249,274,259,1.0855,23,55,1,Medium,Single Nucleotide Polymorphism
916,46.09,53.91,246,248,211,211,0.8543,23,45,1,High,Deletion
961,53.01,46.99,225,228,254,254,1.1214,19,62,0,Low,Wildtype
984,51.72,48.28,237,239,254,254,1.0672,13,63,0,Low,Wildtype
1002,53.45,46.55,233,235,267,267,1.141,20,62,0,Low,Wildtype
975,53.4,46.6,227,228,260,260,1.1429,17,64,0,Low,Wildtype
840,49.69,50.31,211,213,208,208,0.9811,23,53,1,High,Deletion
1108,41.57,58.43,340,308,230,230,0.7099,36,59,1,Medium,Insertion
1036,59.11,40.89,211,212,318,295,1.4492,29,57,1,Medium,Single Nucleotide Polymorphism
